Name,IFNcodes,SpIndex,GrowthForm,TreeType,Hmax,Zmax,a_ash,a_bsh,b_bsh,cr,a_fbt,b_fbt,c_fbt,d_fbt,a_cr,b_1cr,b_2cr,b_3cr,c_1cr,c_2cr,a_cw,b_cw,fHDmin,fHDmax,SLA,r635,pDead,maxFMC,minFMC,LeafDuration,LigninPercent,ParticleDensity,LeafLitterFuelType,Flammability,SAV,HeatContent,k,g,Sgdd,Psi_Extract,WUE,pRootDisc,Gwmin,Gwmax,xylem_kmax,VCstem_c,VCstem_d,VCroot_c,VCroot_d,Vmax298,Al2As,WoodDens,WoodC,RGRmax,Cstoragepmax,Jmax,Narea,PItlp,Zmean
Quercus faginea,44,31,Tree,Deciduous,2500,3000,NA,NA,NA,NA,0.0197,1.9675,0,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,8.03569264551502,1.7049,0.01,100,78,0.56986301369863,20,400,Broadleaved,1,4039,19825,0.55,0.5,200,-3,6,0,1e-5,0.6,0.15,3,-2.002118806,3,-3,68.98837098785074,8e3,0.793875,0.493,0.005,0.15,119.4795762861702,0.236242039709193,-3.16,NA
Quercus pubescens,243,32,Tree,Deciduous,2500,3000,NA,NA,NA,NA,0.0405,1.4617,0,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,11.0759690950909,2.2981,0.01,131,84,0.5643835616438359,20,400,Broadleaved,1,5740,19740,0.55,0.5,200,-3,6,0,1e-5,0.6,1.65,3,-2.916,3,-3,52.4946662504241,8e3,0.864,0.48,0.005,0.15,94.79557198184767,0.156345574381163,-3.515,NA
Quercus ilex,45/245,33,Tree/Shrub,Evergreen,3e3,3000,1.534,0.6134,0.7558,0.974,0.0631,1.545,-0.0053,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,6.09398493496452,1.8059,0.05,81,66,2.1479452054794583,20,400,Broadleaved,1,4050,19300,0.55,0.5,0,-3,6,0,1e-5,0.6,0.7735834408,3,-3.735,3,-3,68.60857497053836,2512.5628140703516,0.87566180011307,0.493,0.005,0.15,118.92221749903665,0.231554777336202,-3.015,NA
Quercus petraea,42,34,Tree,Deciduous,4500,3000,NA,NA,NA,NA,0.0362,1.6103,-0.033,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,13.4948012214106,1.9363,0.01,138,84,0.6666666666666666,20,400,Broadleaved,1,5740,19740,0.55,0.5,0,-3,6,0,1e-5,0.6,0.15,3,-3.15439124314286,3,-3,50.50921157894514,8e3,0.722248305084746,0.483,0.005,0.15,91.74985448114518,0.155853291913569,-2.624,0.3
Quercus pyrenaica,43,35,Tree,Deciduous,2e3,3000,NA,NA,NA,NA,0.043,1.6009,-0.006,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.746993,0.7257,100,120,4.67222832385098,1.9363,0.01,130,81,0.44931506849315084,20,400,Broadleaved,1,5740,19400,0.55,0.5,200,-2,6,0,1e-5,0.6,0.15,3,-2,3,-2,78.45836381311409,8e3,0.825,0.493,0.005,0.15,133.23242634575124,0.361569087861043,-2.68,NA
Quercus robur,41,36,Tree,Deciduous,6e3,3000,NA,NA,NA,NA,0.0259,1.7314,0,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.0716,0.6563,100,120,8.83976783882721,1.9363,0.01,139,114,0.6255332470988242,20,400,Broadleaved,1,5740,19740,0.55,0.5,200,-2,6,0,1e-5,0.6,0.15,3,-2.804,3,-2,71.18530090716742,8e3,0.609091605957312,0.493,0.005,0.15,122.69450144926734,0.250247058031537,-2.58333333333333,0.3
Quercus suber,46,37,Tree,Evergreen,2e3,3000,NA,NA,NA,NA,0.0322,1.3645,-0.0099,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.4473,0.7918,100,120,6.85024574540546,1.9363,0.01,113,88,1.271232876712325,20,400,Broadleaved,1,4039,20447,0.55,0.5,0,-2,6,0,1e-5,0.6,0.15,3,-5.2,3,-2,68.46558858380203,8e3,0.838148148148148,0.493,0.005,0.15,118.71225970911617,0.231544904336047,-3.08,NA
Rhamnus alaternus,4,38,Tree,Evergreen,500,2000,NA,NA,NA,NA,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,6.61747168126331,2.4751,0.085,111,80,2,20,400,Broadleaved,1,4039,19825,0.4,0.5,0,-4,6,0,1e-5,0.6,0.15,3,-8.0973333335,3,-4,84.25653171050867,8e3,0.737081847,0.493,0.005,0.15,141.52616074351343,0.371617255821366,-2.69,NA
Rhododendron ferrugineum,108,39,Shrub,Shrub,150,1000,1.2468,0.9573,0.709497425,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.798,3.293,0.01,150,93,2,20,400,Broadleaved,1,4386,20062,0.4,0.25,0,-2,6,0,1e-5,0.6,0.364,3,-2.61,3,-2,100,8e3,0.43,0.493,0.005,0.15,NA,NA,-1.59,NA
Rosmarinus officinalis,114,40,Shrub,Shrub,200,1000,0.452,2.0306,0.9704,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91046010577643,3.1147,0.135,159,67,0.91,20,400,ShortLinear,2,4860,22700,0.4,0.25,0,-5,6,0,1e-5,0.6,0.15,3,-9.401,3,-5,70.52640767159455,8e3,0.179505188709794,0.493,0.005,0.15,121.7319105703893,0.249904292011725,-2.01,1.36
Taxus baccata,14,41,Tree,Conifer,2900,3000,NA,NA,NA,NA,0.1989,1.3805,-0.0363,0.0066,0,0,0,0,0,0,0.747441,0.6716,100,120,7.21761641802437,1.6631,0.01,122,93,2.8333333333333335,20,400,ShortLinear,1,6697,21888,0.4,0.5,0,-2,6,0,1e-5,0.6,0.32,3,-7.35966666666667,3,-2,74.10920140814457,8e3,0.638319142888889,0.493,0.005,0.15,126.94984992856888,0.274190243063887,NA,0.4064
